Kedie Johnson
Olivia Sekany
Emily Alvarado
Andreea Paraluta
Zala Mersnik
Angelina Anderson
Kaylie Collins
Andreia Jacinto
Julia Mickenhagen
Haley Bugeja
Lena Silano
Riley Tanner
Uchenna Kanu
Oliwia Wos
Sydney Collins
Imani Dorsey
Lauren Leal
Stine Ballisager
Madelyn Desiano
Izzy D'Aquila
Nycole Raysla
Ana Capeta
Lexi Missimo
Kyra Carusa
Edna Imade
Leia Varley
Emoke Papai
Clarissa Larisey
Cortnee Vine
Brianna Pinto
Summer Yates
Barbara Olivieri
Taylor Huff
Natasha Kowalski
Lucie Schlime
Michaely Bihina
Anita Marcos
Magou Doucoure
Ruby Nathan
Milly Clegg
Delice Boboy
Sam Meza
Kathrin Schermuly
Jenny Hipp
Mackenzie Arnold
Teagan Micah
Clare Hunt
Alanna Kennedy
Ellie Carpenter
Charlotte Grant
Courtney Nevin
Clare Wheeler
Kyra Cooney Cross
Katrina Gorry
Emily van Egmond
Amy Sayer
Caitlin Foord
Hayley Raso
Mary Fowler
Sam Kerr
Michelle Heyman
Remy Siemsen
Sharn Freier
Cecilie Fiskerstrand
Aurora Mikalsen
Maren Mjelde
Tuva Hansen
Guro Bergsvand
Mathilde Harviken
Marit Bratberg Lund
Thea Bjelde
Frida Maanum
Lisa Naalsund
Justine Kielland
Signe Gaupset
Caroline Graham Hansen
Julie Blakstad
Ada Hegerberg
Sophie Roman Haug
Elisabeth Terland
Emilie Haavi
Cathinka Tandberg
Ayaka Yamashita
Saki Kumagai
Moeka Minami
Toko Koga
Risa Shimizu
Miyabi Moriya
Yu Endo
Hana Takahashi
Rion Ishikawa
Yui Hasegawa
Momoko Tanikawa
Manaka Matsukubo
Fuka Nagano
Hinata Miyazawa
Yuka Momiki
Honoka Hayashi
Hina Sugita
Maika Hamano
Aoba Fujino
Kiko Seike
Riko Ueki
Mina Tanaka
Remina Chiba
Jun Endo
Sara Holmgaard
Sofie Svava
Katrine Veje
Janni Thomsen
Josefine Hasbo
Sofie Bredgaard
Cornelia Kramer
Nadia Nadim
Laura Giuliani
Elena Linari
Martina Lenzini
Lisa Boattin
Lucia Di Guglielmo
Cecilia Salvai
Valentina Bergamaschi
Elisabetta Oliviero
Manuela Giugliano
Arianna Caruso
Giada Greggi
Eva Schatzer
Emma Severini
Aurora Galli
Sofia Cantore
Annamaria Serturini
Martina Piemonte
Cristiana Girelli
Agnese Bonfantini
Michela Cambiaghi
Barbara Bonansea
Benedetta Glionna
Glodis Perla Viggosdottir
Alexandra Johannsdottir
Dagny Brynjarsdottir
Selma Sol Magnusdottir
Agla Maria Albertsdottir
Sandra Maria Jessen
Elvira Herzog
Livia Peng
Luana Buhler
Viola Calligaris
Julia Stierli
Noelle Maritz
Nadine Riesen
Noemi Ivelj
Ella Touon
Geraldine Reuteler
Coumba Sow
Smilla Vallotto
Riola Xhemaili
Seraina Piubel
Lia Kamber
Iman Beney
Alisha Lehmann
Alayah Pilgrim
Ramona Bachmann
Ana-Maria Crnogorcevic
Lydia Andrade
Aurelie Csillag
Kim Hye-ri
Ji So-yun
Casey Phair
Choe Yu-ri
Kang Chae-rim
Wu Haiyan
Li Mengwen
Shen Menglu
Wang Shuang
Zhang Linyan
Yang Lina
Tang Jiali
Nicky Evrard
Diede Lemey
Sari Kees
Amber Tysiak
Laura De Neve
Davina Philtjens
Laura Deloose
Marie Detruyer
Jarne Teulings
Kassandra Missipo
Tine De Caigny
Justine Vanhaevermaet
Janice Cayman
Tessa Wullaert
Hannah Eurlings
Elena Dhont
